Timestamp,Response,1. Rate of increase,2. Duplexes,2. 3-6 units,2. 7 to 15 units,3. Attainable,3. Affordable,4. Att-Aff Explanation,5. Lyme Common,5. Lyme Center,5. Commercial,5. Rural,5. East Lyme,5. Holts Ledge,5. Mtn & Forest,5. Wherever SF units,5. Nowhere,5. Other,6. Other explanation,7. Housing in Commercial,8. Multi-unit districts,9. Infill,10. Lyme School,11. Lyme School Explanation,12. Housing initiatives,13. Years in Lyme,14. Plan to move,15. Explanation of moving ,16. Age range,17. Smaller house,18. Smaller house explanation,19. Currently own,20. Other thoughts
11/22/25 19:32,138,5-fold increase (10 new units/year),Yes,Yes,Yes,Yes,Yes,,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,,1-LEAST Appropriate,,,"Minimal or no housing, Single family home, Duplex (two family), 3- 6 dwelling units in a building, 7-15 dwelling units in a building","Lyme Common District, Lyme Center District, Rural District",Yes,No,,"Creating housing with a mix of price ranges, Encouraging more housing options/choices/types town-wide, Encouraging mixed-use development with retail on the ground level and residential space on upper floors",5 to 10 years,No,,46 to 65 years,Maybe in the future,,Own your own home,
11/23/25 06:31,139,4-fold increase (8 new units/year),Yes,Yes,No,Yes,Yes,,8-MOST Appropriate,7,7,5,3,3,3,1-LEAST Appropriate,1-LEAST Appropriate,,,"Single family home, Duplex (two family), 3- 6 dwelling units in a building, 7-15 dwelling units in a building","Lyme Common District, Lyme Center District, Rural District, East Lyme District",Yes,No,,"Helping people stay in their current housing, Creating housing with a mix of price ranges, Encouraging more housing options/choices/types town-wide, Helping people stay in the community as they age",More than 20 years,No,,46 to 65 years,Maybe in the future,,Own your own home,
11/23/25 10:38,140,4-fold increase (8 new units/year),,Yes,,Yes,Yes,,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,,,,Duplex (two family),Wherever single-family dwellings are allowed,Yes,No,,"Helping people stay in their current housing, Attracting younger residents and families with children, Helping people stay in the community as they age",5 to 10 years,Maybe,High taxes may force us to seek a more long term affordable living situation.  ,18 to 45 years,Maybe in the future,,Own your own home,
11/23/25 14:27,141,2-fold increase (4 new units/year),Yes,No,No,Yes,Yes,,8-MOST Appropriate,7,6,4,3,2,1-LEAST Appropriate,5,,,,"Single family home, Duplex (two family)",Lyme Common District,Yes,No,,"Encouraging Accessory Dwelling Units (ADUs), Lower property taxes ",More than 20 years,No,,Over 65 years,No,,Own your own home,
11/23/25 15:12,142,4-fold increase (8 new units/year),Yes,Yes,No,Yes,Yes,More apartment-style multi-family units and-or cohousing with some shared infrastructure. ,8-MOST Appropriate,8-MOST Appropriate,7,2,3,3,2,4,1-LEAST Appropriate,6,Route 10 south. ,"Minimal or no housing, 3- 6 dwelling units in a building, 7-15 dwelling units in a building, 16-30 dwelling units in a building","Lyme Common District, Lyme Center District",Yes,No,Expand the school. ,"Helping people stay in their current housing, Creating housing with a mix of price ranges, Creating housing with shared amenities such as common space, building maintenance, snow plowing and lawn mowing, Encouraging more housing options/choices/types town-wide, Preservation of existing affordable housing, Ensuring that new housing is sustainably built (e.g., environmentally responsible, energy efficient, and resource-efficient design and materials), Encouraging mixed-use development with retail on the ground level and residential space on upper floors, Encouraging Accessory Dwelling Units (ADUs), Attracting younger residents and families with children, Helping people stay in the community as they age, “In-fill” development – adding additional units on a parcel (ADU’s or separate buildings)",More than 20 years,No,"Built here in 1997, 28 years ago. ",46 to 65 years,No,,Own your own home,Thanks for doing this!
11/23/25 21:20,143,3-fold increase (6 new units/year),Yes,Yes,No,Yes,Yes,More duplex opportunities along Route 10,3,3,8-MOST Appropriate,6,1-LEAST Appropriate,1-LEAST Appropriate,6,8-MOST Appropriate,,,,"Duplex (two family), 3- 6 dwelling units in a building, 7-15 dwelling units in a building",Commercial District or anywhere along Route 10,No,No,I would be in favor of having more students at the Lyme School. I think it'd be ideal if there were 2 classes per grade. 1 class per grade can be problematic -- it's just on the cusp of too many students for the number of teachers. There is not much racial diversity in Lyme -- the only type of diversity here is economic diversity and I think it'd be helpful for all families to be open to having neighbors with different economic backgrounds to make our community more interesting and inclusive.,"Creating housing with a mix of price ranges, Creating housing with shared amenities such as common space, building maintenance, snow plowing and lawn mowing, Encouraging more housing options/choices/types town-wide, Preservation of existing affordable housing, Encouraging mixed-use development with retail on the ground level and residential space on upper floors, Encouraging Accessory Dwelling Units (ADUs), Attracting younger residents and families with children",5 to 10 years,No,,18 to 45 years,No,,Own your own home,"I live in the Lyme Common district. I have neighbors on both sides of my house, and I'm fine with that. There is plenty of shared space and trails in Lyme. I don't think there's a ton of opportunity to add units in the Lyme Common district -- many houses have maxed out the built space as per zoning rules -- but I do think there are parts of the town that could accommodate more units, especially the commercial area. Multiple family housing isn't a bad thing -- it'd be great to bring more families to Lyme in a way that is affordable. "
11/24/25 07:27,144,No increase (2 new units/year),No,No,No,Yes,No,,7,7,7,6,,3,1-LEAST Appropriate,7,,,,"Single family home, Duplex (two family)","Lyme Common District, Lyme Center District",No,Yes,,"Helping people stay in their current housing, Creating housing with a mix of price ranges, Creating housing with shared amenities such as common space, building maintenance, snow plowing and lawn mowing, Preservation of existing affordable housing, Ensuring that new housing is sustainably built (e.g., environmentally responsible, energy efficient, and resource-efficient design and materials), Helping people stay in the community as they age",Less than 5 years,No,,46 to 65 years,Maybe in the future,,Own your own home,
11/24/25 08:49,145,2-fold increase (4 new units/year),Yes,Yes,No,Yes,Yes,,1-LEAST Appropriate,1-LEAST Appropriate,8-MOST Appropriate,5,1-LEAST Appropriate,1-LEAST Appropriate,5,1-LEAST Appropriate,,,,"Duplex (two family), 3- 6 dwelling units in a building","Rural District, Mountain and Forest District",No,No,"School should be reactive - if more people move in then there's additional tax base, which should fund a small school expansion.","Helping people stay in their current housing, Creating housing with a mix of price ranges, Encouraging more housing options/choices/types town-wide, Preservation of existing affordable housing, Ensuring that new housing is sustainably built (e.g., environmentally responsible, energy efficient, and resource-efficient design and materials), Encouraging Accessory Dwelling Units (ADUs), Attracting younger residents and families with children, Helping people stay in the community as they age",Less than 5 years,No,,46 to 65 years,No,,Own your own home,"It's a tough problem, with no easy answers.  Is there any chance that the overall macro demographic changes forecast for the next 50 years in the USA (population increase slowing, potentially starting to decrease) should be considered?  Perhaps this is a temporary problem that will go away?  I don't know the answer to that and I'm sure people smarter than me are considering it, just want to make sure it's being considered."
11/24/25 12:49,146,4-fold increase (8 new units/year),Yes,Yes,,Yes,Yes,,2,5,6,7,4,1-LEAST Appropriate,3,8-MOST Appropriate,,,,"Duplex (two family), 3- 6 dwelling units in a building","Lyme Center District, Rural District, Wherever single-family dwellings are allowed",Yes,Yes,Yes - but we need to consider class sizes. It's great to have small class sizes but it needs to be weighed against building expansion costs.,"Creating housing with a mix of price ranges, Preservation of existing affordable housing, Helping people stay in the community as they age",More than 20 years,Maybe,Our house is too big!,Over 65 years,Maybe in the future,We probably won't do that in Lyme due to costs and desire to be closer to family.,Own your own home,Thanks for soliciting opinions. I think the Lyme landscape is beautiful but we need to be a less exclusive community by providing more affordable housing.
11/24/25 17:02,147,5-fold increase (10 new units/year),Yes,Yes,Yes,Yes,Yes,"expanding town sewer and water in Lyme Common district, and add it to Lyme Center district",8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,,1-LEAST Appropriate,8-MOST Appropriate,along the state highways ,"Duplex (two family), 3- 6 dwelling units in a building, 7-15 dwelling units in a building, 16-30 dwelling units in a building","Lyme Common District, Lyme Center District, Lyme Commercial district",Yes,No,,"Helping people stay in their current housing, Creating housing with a mix of price ranges, “In-fill” development – adding additional units on a parcel (ADU’s or separate buildings)",More than 20 years,No,,Over 65 years,Maybe in the future,If I needed to move to elder housing ,Own your own home,Why is barn conversion to housing so restrictive? It seems like this would be an ideal use of existing structures which might otherwise be torn down.
11/24/25 18:01,148,5-fold increase (10 new units/year),Yes,Yes,Yes,Yes,Yes,Add/expand town sewer in the Common District and town water and sewer in the Lyme Center District.,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,,1-LEAST Appropriate,8-MOST Appropriate,On state roads,"Duplex (two family), 3- 6 dwelling units in a building, 7-15 dwelling units in a building, 16-30 dwelling units in a building","Lyme Common District, Lyme Center District, Lyem Commercial",Yes,No,,"Helping people stay in their current housing, Encouraging more housing options/choices/types town-wide, “In-fill” development – adding additional units on a parcel (ADU’s or separate buildings)",More than 20 years,No,,Over 65 years,No,,Own your own home,"A new two bedroom house will cost $300,000 - $400,000 plus land plus sewer and water, say $500,000. A typical mortgage plus utilities plus property taxes will run $40,000 per year. To afford this new two bedroom home the family would need an income of $120,000 - $140,000.
Middle income in New Hampshire today is $65,000 - $193,000, a median of $97,000.
Updating the Lyme zoning ordinance might encourage more development but most likely not workforce housing; probably not ""middle income"" housing. "
11/24/25 18:46,149,No increase (2 new units/year),Yes,No,No,No,No,,,,,,,,,8-MOST Appropriate,,,,"Single family home, Duplex (two family)",Wherever single-family dwellings are allowed,No,Yes,,"Helping people stay in their current housing, Encouraging Accessory Dwelling Units (ADUs), Attracting younger residents and families with children, Helping people stay in the community as they age",,,,,,,Own your own home,
11/24/25 19:17,150,3-fold increase (6 new units/year),Yes,Yes,,No,Yes,,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,3,,,,"Single family home, Duplex (two family), 3- 6 dwelling units in a building, 7-15 dwelling units in a building, 16-30 dwelling units in a building","Lyme Common District, Lyme Center District",Yes,No,,"Preservation of existing affordable housing, Helping people stay in the community as they age, “In-fill” development – adding additional units on a parcel (ADU’s or separate buildings)",5 to 10 years,No,,46 to 65 years,Maybe in the future,,,
11/24/25 19:18,151,4-fold increase (8 new units/year),Yes,Yes,No,Yes,Yes,"Denser development around the common to create more affordable, multi-unit buildings while keeping more of Lyme open space",7,6,8-MOST Appropriate,2,3,4,1-LEAST Appropriate,,,,,"Single family home, Duplex (two family), 3- 6 dwelling units in a building",Lyme Common District,Yes,Yes,"I would be more amenable if the school is able to expand on its current site, but I would not want to have to build a new school somewhere less central to town if housing development outstripped school capacity","Creating housing with a mix of price ranges, Attracting younger residents and families with children, Helping people stay in the community as they age",Less than 5 years,No,,18 to 45 years,No,,Own your own home,
11/24/25 19:22,152,2-fold increase (4 new units/year),Yes,Yes,No,No,Yes,,1-LEAST Appropriate,,8-MOST Appropriate,,,,,,,,,"Duplex (two family), 3- 6 dwelling units in a building, 7-15 dwelling units in a building",Holts Ledge District,No,Yes,,"Helping people stay in their current housing, Preservation of existing affordable housing, Helping people stay in the community as they age",More than 20 years,No,,46 to 65 years,No,,Own your own home,"Instead of allowing people to purchase and then AirBNB houses, why not allow for some actual affordable housing? So many young people are working jobs with lower pay and there’s no way they can afford the prices that houses have been selling for here in Lyme. "
11/24/25 20:02,153,4-fold increase (8 new units/year),Yes,Yes,Yes,Yes,Yes,concentrated multi-unit houses and ADUs,7,6,8-MOST Appropriate,8-MOST Appropriate,4,4,4,8-MOST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,,"Single family home, Duplex (two family), 3- 6 dwelling units in a building, 7-15 dwelling units in a building, 16-30 dwelling units in a building","Lyme Common District, Lyme Center District, Wherever single-family dwellings are allowed",Yes,No,These numbers show that the Lyme school can reasonably accommodate the goal number of increased households,"Creating housing with a mix of price ranges, Encouraging more housing options/choices/types town-wide, Ensuring that new housing is sustainably built (e.g., environmentally responsible, energy efficient, and resource-efficient design and materials), Encouraging Accessory Dwelling Units (ADUs), Attracting younger residents and families with children, Helping people stay in the community as they age, “In-fill” development – adding additional units on a parcel (ADU’s or separate buildings)",5 to 10 years,No,,18 to 45 years,Maybe in the future,,Own your own home,
11/24/25 20:12,154,3-fold increase (6 new units/year),Yes,Yes,No,Yes,Yes,"Increase the allowable square footage for ADUs to 1100-1200 sf (currently at 750 sf).  We need to offer options that would allow space for more than 1 person to live there.  ADUs should also have a little more flexibility in terms of placement on a property, so relaxing some of the zoning restrictions for permitting their construction would incentivize more being created.",8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,4,6,7,3,8-MOST Appropriate,,,,"Single family home, Duplex (two family)","Lyme Common District, Lyme Center District, Along River Road",Yes,Yes,"1. Many of the Lyme School's class sizes are small, so we could actually use more kids here in town.  2. If the trend of mostly childless households purchasing property in Lyme continues, then it's unlikely additional housing will cause sudden increases in school age population.  ","Creating housing with a mix of price ranges, Encouraging mixed-use development with retail on the ground level and residential space on upper floors, Encouraging Accessory Dwelling Units (ADUs)",5 to 10 years,No,I live in a home that has been in the family for almost 100 years.  We intend to keep it in the family if we possibly can.,Over 65 years,No,,Own your own home,"1. Other than inns and resorts like Dowd's, Lyme Inn, Loch Lyme Lodge and Home on the Connecticut, we should limit short-term rentals like Airbnb and VRBO to a certain number of properties; there is more involvement and buy-in from year-round residents which makes for a better community. 2. Water quality as well as quantity needs to be carefully preserved and protected.  New construction will require access to water, along with electric and access to septic disposal.  These must be incorporated sustainably.  3. Building design should be consistent with Lyme's historic colonial character and/or with surrounding homes, i.e. no 'Brutalist' homes please!"
11/24/25 21:09,155,4-fold increase (8 new units/year),Yes,Yes,No,Yes,Yes,,2,2,6,8-MOST Appropriate,1-LEAST Appropriate,2,6,6,,,,"Single family home, Duplex (two family), 3- 6 dwelling units in a building",Lyme Common District,No,No,There s residual capacity in the school currently and the school is currently able to accept out of district enrollments. ,"Helping people stay in their current housing, Creating housing with a mix of price ranges, Helping people stay in the community as they age",10 to 20 years,No,,46 to 65 years,Yes,,Rent,
11/24/25 22:20,156,4-fold increase (8 new units/year),Yes,Yes,No,Yes,Yes,Relax the restrictions.,3,5,6,2,7,4,5,8-MOST Appropriate,1-LEAST Appropriate,,,"Duplex (two family), 3- 6 dwelling units in a building",East Lyme District,Yes,No,,"Encouraging Accessory Dwelling Units (ADUs), Helping people stay in the community as they age, “In-fill” development – adding additional units on a parcel (ADU’s or separate buildings)",More than 20 years,No,,Over 65 years,No,,Own your own home,
11/25/25 02:34,157,No increase (2 new units/year),Yes,No,No,Yes,Yes,,4,4,4,4,2,2,1-LEAST Appropriate,4,,,,"Single family home, Duplex (two family)",None of the above,No,Yes,,"Helping people stay in their current housing, Creating housing with a mix of price ranges, Preservation of existing affordable housing, Ensuring that new housing is sustainably built (e.g., environmentally responsible, energy efficient, and resource-efficient design and materials), Helping people stay in the community as they age",5 to 10 years,No,,18 to 45 years,Maybe in the future,"Our family is renting while trying to buy an “attainable” home in Lyme. Having witnessed other communities change their nature after allowing increased development, we would rather deal with a challenging housing market than the increased traffic and consumer needs that come from significant population expansion. ",Rent,We hope emphasis is placed on helping Lyme maintain its unique character and long term planning is prioritized. Poorly developed areas cannot not be undone and returned to their original nature.
11/25/25 05:28,158,2-fold increase (4 new units/year),Yes,Yes,No,Yes,Yes,,2,2,4,4,4,2,2,4,,,,"Duplex (two family), 3- 6 dwelling units in a building",East Lyme District,Yes,Yes,,"Helping people stay in their current housing, Creating housing with a mix of price ranges, Preservation of existing affordable housing, Ensuring that new housing is sustainably built (e.g., environmentally responsible, energy efficient, and resource-efficient design and materials), Helping people stay in the community as they age",More than 20 years,No,,Over 65 years,No,,Own your own home,
11/25/25 05:30,159,No increase (2 new units/year),No,No,No,No,No,,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,8-MOST Appropriate,,,"3- 6 dwelling units in a building, 7-15 dwelling units in a building, 16-30 dwelling units in a building",None of the above,Yes,Yes,,"Helping people stay in their current housing, Attracting younger residents and families with children, Helping people stay in the community as they age",Less than 5 years,No,,18 to 45 years,No,,Own your own home,
11/25/25 08:25,160,No increase (2 new units/year),Yes,Yes,No,No,Yes,,5,2,8-MOST Appropriate,,3,2,1-LEAST Appropriate,4,1-LEAST Appropriate,7,Along Rte 10 between Comercail District and the Common,"Single family home, Duplex (two family), 3- 6 dwelling units in a building, 7-15 dwelling units in a building","Lyme Common District, Commercial",Yes,Yes,Because all the other town assets would need to expand as well.,"Helping people stay in their current housing, Preservation of existing affordable housing, Helping people stay in the community as they age",More than 20 years,No,,Over 65 years,No,,Rent,"Lyme has a rare mix of social, education, and economic diversity. Housing should keep that."
11/25/25 09:27,161,5-fold increase (10 new units/year),Yes,Yes,Yes,Yes,Yes,Perhaps have new members on planning board and get out of the 1980's.,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,,8-MOST Appropriate,,,,"3- 6 dwelling units in a building, 7-15 dwelling units in a building, 16-30 dwelling units in a building","Lyme Common District, Lyme Center District, Rural District, East Lyme District, Holts Ledge District, Wherever single-family dwellings are allowed",Yes,No,I would assume they too would be paying taxes and perhaps Lyme will have figured out it's low assessments of the upper end properties.,"Helping people stay in their current housing, Creating housing with a mix of price ranges, Creating housing with shared amenities such as common space, building maintenance, snow plowing and lawn mowing, Encouraging more housing options/choices/types town-wide, Preservation of existing affordable housing, Ensuring that new housing is sustainably built (e.g., environmentally responsible, energy efficient, and resource-efficient design and materials), Encouraging mixed-use development with retail on the ground level and residential space on upper floors, Encouraging Accessory Dwelling Units (ADUs), Attracting younger residents and families with children, Helping people stay in the community as they age, “In-fill” development – adding additional units on a parcel (ADU’s or separate buildings)",More than 20 years,No,,Over 65 years,Maybe in the future,,Own your own home,
11/25/25 09:39,162,2-fold increase (4 new units/year),No,No,No,Yes,Yes,Nope,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,1-LEAST Appropriate,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,5,,,,"Single family home, Duplex (two family)","Lyme Common District, Lyme Center District",No,Yes,,"Helping people stay in their current housing, Creating housing with a mix of price ranges, Creating housing with shared amenities such as common space, building maintenance, snow plowing and lawn mowing, Encouraging more housing options/choices/types town-wide, Preservation of existing affordable housing, Encouraging Accessory Dwelling Units (ADUs)",More than 20 years,No,,Over 65 years,No,,Own your own home,"It is sad to see so many families move out of Lyme when their kids have graduated from the Dresden Schools. This usually means that they are replaced by another family with kids entering our schools. This turnover of families put an undue tax burden on those families who have no kids or whose kids have moved on. And it decreases the investment that people feel in the community.  Many families wish to escape the onerous tax burden once they no longer need the Dresden School system, sadly."
11/25/25 10:47,163,No increase (2 new units/year),Yes,No,No,Yes,No,,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,,,,"Duplex (two family), 3- 6 dwelling units in a building, 7-15 dwelling units in a building","Lyme Common District, Lyme Center District",Yes,Yes,,"Creating housing with a mix of price ranges, Encouraging Accessory Dwelling Units (ADUs), Helping people stay in the community as they age, “In-fill” development – adding additional units on a parcel (ADU’s or separate buildings)",10 to 20 years,No,,46 to 65 years,No,,Own your own home,
11/25/25 11:38,164,2-fold increase (4 new units/year),Yes,Yes,No,Yes,Yes,"I am fine with the development of additional housing units of most any type as long as they are in the Lyme Common district, Commercial district, and to a lesser degree Lyme Center; that is, I am in favor of infill development in already developed areas, including projects that aim to provide affordable housing and housing with shared services aimed at seniors and others who may need support.  ",8-MOST Appropriate,6,7,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,,,,,"Duplex (two family), 3- 6 dwelling units in a building, 7-15 dwelling units in a building","Lyme Common District, Lyme Center District",Yes,Yes,,"Ensuring that new housing is sustainably built (e.g., environmentally responsible, energy efficient, and resource-efficient design and materials), Encouraging mixed-use development with retail on the ground level and residential space on upper floors, “In-fill” development – adding additional units on a parcel (ADU’s or separate buildings)",10 to 20 years,No,,46 to 65 years,No,,Own your own home,"I understand and in general support the need for additional housing options.  What I care passionately about is protecting Lyme's historical rural countryside, open space, and natural ecosystems, and not letting the town fall victim to the rural development sprawl that has chopped up the landscape in so many other towns.  I am supportive of a variety of residential and commercial infill development types in the Lyme Common and Commercial districts (including affordable housing initiatives), and limited infill (such as accessory dwelling units/in-law apartments) associated with existing residential housing in other districts.  What I am not in favor of is new residential development outside of the Lyme Common/Commercial/Center districts.  "
11/25/25 12:05,165,2-fold increase (4 new units/year),Yes,Yes,,Yes,Yes,,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,8-MOST Appropriate,1-LEAST Appropriate,,,"Duplex (two family), 3- 6 dwelling units in a building","Lyme Common District, Lyme Center District, Wherever single-family dwellings are allowed",Yes,Yes,,"Creating housing with a mix of price ranges, Preservation of existing affordable housing, “In-fill” development – adding additional units on a parcel (ADU’s or separate buildings)",Less than 5 years,No,,46 to 65 years,Maybe in the future,,Own your own home,the prohibition against new construction with multiple units seems outdated and counterproductive.
11/25/25 14:20,166,2-fold increase (4 new units/year),No,No,No,Yes,Yes,,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,1-LEAST Appropriate,3,3,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,,,"Single family home, Duplex (two family), 3- 6 dwelling units in a building, 7-15 dwelling units in a building","Lyme Common District, Lyme Center District",Yes,No,,"Helping people stay in their current housing, Creating housing with a mix of price ranges, Encouraging more housing options/choices/types town-wide",5 to 10 years,No,,46 to 65 years,Maybe in the future,"At the moment, I do not plan to leave my current home.",Own your own home,
11/25/25 15:49,167,,Yes,Yes,No,Yes,Yes,,,,8-MOST Appropriate,,,,,,,,,"Duplex (two family), 3- 6 dwelling units in a building",Commercial District due to accessibility of services,Yes,Yes,Taxes are what make living in Lyme unaffordable. I do not think we should do anything that would cause the tax rate to go up.,"Helping people stay in their current housing, Creating housing with a mix of price ranges, Helping people stay in the community as they age",More than 20 years,No,,Over 65 years,No,,Own your own home,"1) I chose the Commercial District for affordable housing because we need to consider the cost and availability of access to services such as pharmacy, hospital, food, and work. 2) Rental fees of $2,000 a month are still not consistent with the low wages for workers in the Upper Valley as well as Dartmouth and DHMC."
11/25/25 16:22,168,3-fold increase (6 new units/year),Yes,Yes,No,Yes,Yes,,8-MOST Appropriate,5,7,3,3,3,1-LEAST Appropriate,,,,I made my choices based on where there currently is infrastructure to support easy access (i.e. paved roads). Development options in other areas are possible but should be more limited given the nature of the dirt roads/mud season.,"Single family home, Duplex (two family), 3- 6 dwelling units in a building","Lyme Common District, Lyme Center District, Along paved roads in any district",Yes,No,"I think if we are going to be responsible members of the larger community, we cannot artificially limit housing in perpetuity based on the Lyme School's capacity. I DO think that we should ensure that any increase in housing is done in such a way to allow the School Board to respond. Please also note that the estimates above assume that students are spread out amongst the grades, which isn't a guarantee, and that education policy in Concord doesn't undergo a massive change. which also isn't a guarantee given what we've seen come out of the current NH Legislature this past year.","Creating housing with a mix of price ranges, Ensuring that new housing is sustainably built (e.g., environmentally responsible, energy efficient, and resource-efficient design and materials), Attracting younger residents and families with children, Checking a 4th as I'll note that you cannot help people stay in the community as they age if you do not attract younger residents/families to take the reins in volunteer roles throughout the town. We either pay more to hire employees or we attract more and younger residents to take volunteer positions.",More than 20 years,No,Lyme is our forever home unless forced to move by circumstances.,46 to 65 years,No,,Own your own home,"We need to increase our housing options AND maintain our character. That does not mean keep everything the same. It does mean thinking about sustainability, which includes the environment, education, taxes, COL, and services, as we develop a plan going forward."
11/25/25 17:25,169,3-fold increase (6 new units/year),Yes,,,Yes,Yes,More Habitat for Humanity projects?  Smaller homes = some type of cluster development,3,1-LEAST Appropriate,8-MOST Appropriate,5,,3,7,,,,,"Single family home, Duplex (two family), 3- 6 dwelling units in a building","Lyme Common District, Rural District, Mountain and Forest District",Yes,Yes,"9 is too many, 4 is more sustainable.  Also school size highly impacted by demographic","Encouraging more housing options/choices/types town-wide, Ensuring that new housing is sustainably built (e.g., environmentally responsible, energy efficient, and resource-efficient design and materials), “In-fill” development – adding additional units on a parcel (ADU’s or separate buildings)",More than 20 years,No,,Over 65 years,No,,Own your own home,
11/25/25 18:11,170,2-fold increase (4 new units/year),Yes,Yes,No,Yes,Yes,,4,4,4,1-LEAST Appropriate,2,2,1-LEAST Appropriate,3,,,,3- 6 dwelling units in a building,"Lyme Common District, Lyme Center District",Yes,Yes,,"Helping people stay in their current housing, Creating housing with a mix of price ranges, Creating housing with shared amenities such as common space, building maintenance, snow plowing and lawn mowing, Encouraging more housing options/choices/types town-wide, Preservation of existing affordable housing, Ensuring that new housing is sustainably built (e.g., environmentally responsible, energy efficient, and resource-efficient design and materials), Encouraging mixed-use development with retail on the ground level and residential space on upper floors, Helping people stay in the community as they age, “In-fill” development – adding additional units on a parcel (ADU’s or separate buildings)",More than 20 years,Maybe,,46 to 65 years,Maybe in the future,,Own your own home,
11/25/25 18:31,171,4-fold increase (8 new units/year),Yes,Yes,Yes,Yes,Yes,,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,5,2,5,2,5,1-LEAST Appropriate,,Any suitable lot/land/area that is accessible via paved roads. Police/FD access is hampered as the travel time on dirt roads increases. Dirt roads will also require more maintenance as the traffic flow increases. Services such as telecommunications/power/etc are more easily managed in close proximity to paved roads.,"Single family home, Duplex (two family), 3- 6 dwelling units in a building, 7-15 dwelling units in a building","Lyme Common District, Lyme Center District, Rural District, East Lyme District, Holts Ledge District, Mountain and Forest District, Any suitable lot/land/area that is accessible via paved roads.",Yes,No,We need to start finding other ways to manage school growth regardless - considering 80% of Lyme homes don't have school age children the opportunity is already here.,"Encouraging more housing options/choices/types town-wide, Ensuring that new housing is sustainably built (e.g., environmentally responsible, energy efficient, and resource-efficient design and materials), Encouraging mixed-use development with retail on the ground level and residential space on upper floors, The concept of dense housing with a common unbuildable area generally known as cluster housing or a Planned Unit Development (PUD)",More than 20 years,No,We'd like to enjoy Lyme as long as we practically can.,46 to 65 years,Maybe in the future,One of our thoughts is to upgrade to have a 1 bed studio above our garage. Move to that and  allow one of our children/family to live in the main dwelling.,Own your own home,"Development plans that concentrate housing such as PUD/Cluster in close proximity to paved roads and/or in commercial or densely populated areas offer several advantages. Police/FD/Municipal access/response is easier, services such as telecommunications/power/etc are more easily managed in close proximity to paved roads. School bussing or the ability to walk to services is easier. Dirt roads require more maintenance as the traffic flow increases or during seasonal mud."
11/25/25 19:37,172,No increase (2 new units/year),No,No,No,No,No,,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,4,,,,"Single family home, Duplex (two family)",None of the above,No,Yes,,"Helping people stay in their current housing, Creating housing with a mix of price ranges, Preservation of existing affordable housing",Less than 5 years,No,,18 to 45 years,No,,Own your own home,
11/25/25 20:15,173,4-fold increase (8 new units/year),Yes,Yes,Yes,Yes,Yes,Allow more housing to be built. Allow more multi unit dwellings. ,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,6,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,6,1-LEAST Appropriate,,,"Single family home, Duplex (two family), 3- 6 dwelling units in a building, 7-15 dwelling units in a building, 16-30 dwelling units in a building","Lyme Common District, Lyme Center District, Along route 10 and in the center of town",Yes,No,,"Helping people stay in their current housing, Creating housing with a mix of price ranges, Encouraging mixed-use development with retail on the ground level and residential space on upper floors",10 to 20 years,No,,46 to 65 years,No,,Own your own home,
